mo_id,mo_number,mo_date,requested_by,requested_by_department,from_department_id,to_department_id,approved_by,approved_date,issued_by,issued_date,status,remarks
1,MO202606010001,2026-06-01,4,2,2,3,8,2026-06-01,5,2026-06-01,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 001. | Note: Material received and acknowledged at destination.
99,MO202600000099,2026-09-07,8,4,5,6,1,2026-09-07,,,Approved,Type: Production to Finished Goods | Priority: High | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 099. | Note: Approved and waiting for movement team assignment.
100,MO202600000100,2026-09-08,10,5,6,6,,,,,Pending Approval,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 100. | Note: Awaiting department approval before material handling.
101,MO202600000101,2026-09-09,8,4,3,4,,,,,Draft,Type: Inter-Department Transfer | Priority: Low | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 101. | Note: Draft prepared for supervisor review.
102,MO202600000102,2026-09-10,11,5,5,2,,,,,Cancelled,Type: Return to Stores | Priority: High | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 102. | Note: Cancelled due to revised production or dispatch priority.
103,MO202600000103,2026-09-11,9,4,2,3,10,2026-09-11,3,2026-09-11,Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 103. | Note: Material received and acknowledged at destination.
104,MO202600000104,2026-09-12,10,5,2,5,8,2026-09-12,,,Approved,Type: Stores to Maintenance | Priority: Medium | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 104. | Note: Approved and waiting for movement team assignment.
105,MO202600000105,2026-09-13,12,6,3,5,1,2026-09-13,11,2026-09-13,Issued,Type: Production to Quality | Priority: Urgent | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 105. | Note: Material issued from source area; receipt confirmation pending.
106,MO202600000106,2026-09-14,3,2,5,6,10,2026-09-14,5,2026-09-14,Received,Type: Production to Finished Goods | Priority: Medium | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 106. | Note: Material received and acknowledged at destination.
107,MO202600000107,2026-09-15,5,1,6,6,8,2026-09-15,3,2026-09-15,Issued,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 107. | Note: Material issued from source area; receipt confirmation pending.
108,MO202600000108,2026-09-16,3,2,3,4,1,2026-09-16,7,2026-09-16,Partially Received,Type: Inter-Department Transfer | Priority: Urgent | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 108. | Note: Partial receipt recorded; balance pending verification.
109,MO202600000109,2026-09-17,6,3,5,2,10,2026-09-17,,,Approved,Type: Return to Stores | Priority: Low | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 109. | Note: Approved and waiting for movement team assignment.
110,MO202600000110,2026-09-18,4,2,2,3,,,,,Pending Approval,Type: Stores to Production | Priority: High | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 110. | Note: Awaiting department approval before material handling.
111,MO202600000111,2026-09-19,5,1,2,5,,,,,Draft,Type: Stores to Maintenance | Priority: Medium | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 111. | Note: Draft prepared for supervisor review.
112,MO202600000112,2026-09-20,7,3,3,5,,,,,Cancelled,Type: Production to Quality | Priority: Medium | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 112. | Note: Cancelled due to revised production or dispatch priority.
113,MO202600000113,2026-09-21,10,5,5,6,8,2026-09-21,11,2026-09-21,Received,Type: Production to Finished Goods | Priority: Urgent | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 113. | Note: Material received and acknowledged at destination.
114,MO202600000114,2026-09-22,12,6,6,6,1,2026-09-22,,,Approved,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 114. | Note: Approved and waiting for movement team assignment.
115,MO202600000115,2026-09-23,10,5,3,4,10,2026-09-23,3,2026-09-23,Issued,Type: Inter-Department Transfer | Priority: High | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 115. | Note: Material issued from source area; receipt confirmation pending.
116,MO202600000116,2026-09-24,13,6,5,2,8,2026-09-24,7,2026-09-24,Received,Type: Return to Stores | Priority: Urgent | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 116. | Note: Material received and acknowledged at destination.
117,MO202600000117,2026-09-25,11,5,2,3,1,2026-09-25,11,2026-09-25,Issued,Type: Stores to Production | Priority: Low | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 117. | Note: Material issued from source area; receipt confirmation pending.
118,MO202600000118,2026-09-26,12,6,2,5,10,2026-09-26,5,2026-09-26,Partially Received,Type: Stores to Maintenance | Priority: High | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 118. | Note: Partial receipt recorded; balance pending verification.
119,MO202600000119,2026-09-27,1,1,3,5,8,2026-09-27,,,Approved,Type: Production to Quality | Priority: Medium | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 119. | Note: Approved and waiting for movement team assignment.
120,MO202600000120,2026-09-28,5,1,5,6,,,,,Pending Approval,Type: Production to Finished Goods | Priority: Medium | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 120. | Note: Awaiting department approval before material handling.
121,MO202600000121,2026-09-29,7,3,6,6,,,,,Draft,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - Dispatch Ready Bay | To: Export Packing Bay | Reason: Stage motors for customer pickup MO batch 121. | Note: Draft prepared for supervisor review.
122,MO202600000122,2026-09-30,5,1,3,4,,,,,Cancelled,Type: Inter-Department Transfer | Priority: Medium | From: Rework Cell - Stator Bay | To: Rework Cell - Rotor Balancing | Reason: Transfer buffer material to assembly supermarket MO batch 122. | Note: Cancelled due to revised production or dispatch priority.
123,MO202600000123,2026-10-01,8,4,5,2,1,2026-10-01,3,2026-10-01,Received,Type: Return to Stores | Priority: High | From: Final Assembly Changeover Trolley | To: Electrical Store - Connector Bin | Reason: Return unused connector sets after harness change MO batch 123. | Note: Material received and acknowledged at destination.
124,MO202600000124,2026-10-02,6,3,2,3,10,2026-10-02,,,Approved,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Fastener Rack | To: Assembly Line Feed Bay | Reason: Transfer fastener kits for motor assembly plan MO batch 124. | Note: Approved and waiting for movement team assignment.
125,MO202600000125,2026-10-03,7,3,2,5,8,2026-10-03,11,2026-10-03,Issued,Type: Stores to Maintenance | Priority: Low | From: Electrical Store - Breaker Bin | To: Utility Repair Bench | Reason: Issue contactors for assembly line repair MO batch 125. | Note: Material issued from source area; receipt confirmation pending.
126,MO202600000126,2026-10-04,9,4,3,5,1,2026-10-04,5,2026-10-04,Received,Type: Production to Quality | Priority: High | From: Final Test Area | To: NVH Audit Bench | Reason: Move motors for noise and vibration audit MO batch 126. | Note: Material received and acknowledged at destination.
127,MO202600000127,2026-10-05,12,6,5,6,10,2026-10-05,3,2026-10-05,Issued,Type: Production to Finished Goods | Priority: Medium | From: Quality Release Area | To: Finished Goods Warehouse - Audit Hold Rack | Reason: Move quality-released motors into finished goods storage MO batch 127. | Note: Material issued from source area; receipt confirmation pending.
128,MO202600000128,2026-10-06,1,1,6,6,8,2026-10-06,7,2026-10-06,Partially Received,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Customer Hold Rack | To: Customer Pickup Bay | Reason: Move dispatch-ready motors for vehicle loading MO batch 128. | Note: Partial receipt recorded; balance pending verification.
129,MO202600000129,2026-10-07,12,6,3,4,1,2026-10-07,,,Approved,Type: Inter-Department Transfer | Priority: Urgent | From: Production Utility Panel Area | To: Line Support Store | Reason: Move tagged assemblies for cross-line recovery MO batch 129. | Note: Approved and waiting for movement team assignment.
130,MO202600000130,2026-10-08,3,2,5,2,,,,,Pending Approval,Type: Return to Stores | Priority: Medium | From: Maintenance Return Counter | To: Maintenance Spares Cage | Reason: Return serviceable spares after maintenance closure MO batch 130. | Note: Awaiting department approval before material handling.
131,MO202600000131,2026-10-09,13,6,2,3,,,,,Draft,Type: Stores to Production | Priority: High | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 131. | Note: Draft prepared for supervisor review.
132,MO202600000132,2026-10-10,1,1,2,5,,,,,Cancelled,Type: Stores to Maintenance | Priority: Urgent | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 132. | Note: Cancelled due to revised production or dispatch priority.
133,MO202600000133,2026-10-11,4,2,3,5,10,2026-10-11,11,2026-10-11,Received,Type: Production to Quality | Priority: Low | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 133. | Note: Material received and acknowledged at destination.
134,MO202600000134,2026-10-12,7,3,5,6,8,2026-10-12,,,Approved,Type: Production to Finished Goods | Priority: High | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 134. | Note: Approved and waiting for movement team assignment.
135,MO202600000135,2026-10-13,9,4,6,6,1,2026-10-13,3,2026-10-13,Issued,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 135. | Note: Material issued from source area; receipt confirmation pending.
136,MO202600000136,2026-10-14,7,3,3,4,10,2026-10-14,7,2026-10-14,Received,Type: Inter-Department Transfer | Priority: Medium | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 136. | Note: Material received and acknowledged at destination.
137,MO202600000137,2026-10-15,10,5,5,2,8,2026-10-15,11,2026-10-15,Issued,Type: Return to Stores | Priority: Urgent | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 137. | Note: Material issued from source area; receipt confirmation pending.
138,MO202600000138,2026-10-16,8,4,2,3,1,2026-10-16,5,2026-10-16,Partially Received,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 138. | Note: Partial receipt recorded; balance pending verification.
139,MO202600000139,2026-10-17,9,4,2,5,10,2026-10-17,,,Approved,Type: Stores to Maintenance | Priority: High | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 139. | Note: Approved and waiting for movement team assignment.
140,MO202600000140,2026-10-18,11,5,3,5,,,,,Pending Approval,Type: Production to Quality | Priority: Urgent | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 140. | Note: Awaiting department approval before material handling.
141,MO202600000141,2026-10-19,1,1,5,6,,,,,Draft,Type: Production to Finished Goods | Priority: Low | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 141. | Note: Draft prepared for supervisor review.
142,MO202600000142,2026-10-20,4,2,6,6,,,,,Cancelled,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 142. | Note: Cancelled due to revised production or dispatch priority.
143,MO202600000143,2026-10-21,1,1,3,4,8,2026-10-21,3,2026-10-21,Received,Type: Inter-Department Transfer | Priority: Medium | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 143. | Note: Material received and acknowledged at destination.
144,MO202600000144,2026-10-22,5,1,5,2,1,2026-10-22,,,Approved,Type: Return to Stores | Priority: Medium | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 144. | Note: Approved and waiting for movement team assignment.
145,MO202600000145,2026-10-23,3,2,2,3,10,2026-10-23,11,2026-10-23,Issued,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 145. | Note: Material issued from source area; receipt confirmation pending.
146,MO202600000146,2026-10-24,4,2,2,5,8,2026-10-24,5,2026-10-24,Received,Type: Stores to Maintenance | Priority: Medium | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 146. | Note: Material received and acknowledged at destination.
147,MO202600000147,2026-10-25,6,3,3,5,1,2026-10-25,3,2026-10-25,Issued,Type: Production to Quality | Priority: High | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 147. | Note: Material issued from source area; receipt confirmation pending.
148,MO202600000148,2026-10-26,9,4,5,6,10,2026-10-26,7,2026-10-26,Partially Received,Type: Production to Finished Goods | Priority: Urgent | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 148. | Note: Partial receipt recorded; balance pending verification.
149,MO202600000149,2026-10-27,11,5,6,6,8,2026-10-27,,,Approved,Type: Finished Goods to Dispatch | Priority: Low | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 149. | Note: Approved and waiting for movement team assignment.
150,MO202600000150,2026-10-28,9,4,3,4,,,,,Pending Approval,Type: Inter-Department Transfer | Priority: High | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 150. | Note: Awaiting department approval before material handling.
151,MO202600000151,2026-10-29,12,6,5,2,,,,,Draft,Type: Return to Stores | Priority: Medium | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 151. | Note: Draft prepared for supervisor review.
152,MO202600000152,2026-10-30,10,5,2,3,,,,,Cancelled,Type: Stores to Production | Priority: Medium | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 152. | Note: Cancelled due to revised production or dispatch priority.
153,MO202600000153,2026-10-31,11,5,2,5,1,2026-10-31,11,2026-10-31,Received,Type: Stores to Maintenance | Priority: Urgent | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 153. | Note: Material received and acknowledged at destination.
154,MO202600000154,2026-11-01,13,6,3,5,10,2026-11-01,,,Approved,Type: Production to Quality | Priority: Medium | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 154. | Note: Approved and waiting for movement team assignment.
155,MO202600000155,2026-11-02,4,2,5,6,8,2026-11-02,3,2026-11-02,Issued,Type: Production to Finished Goods | Priority: High | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 155. | Note: Material issued from source area; receipt confirmation pending.
156,MO202600000156,2026-11-03,6,3,6,6,1,2026-11-03,7,2026-11-03,Received,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - Dispatch Ready Bay | To: Export Packing Bay | Reason: Stage motors for customer pickup MO batch 156. | Note: Material received and acknowledged at destination.
157,MO202600000157,2026-11-04,4,2,3,4,10,2026-11-04,11,2026-11-04,Issued,Type: Inter-Department Transfer | Priority: Low | From: Rework Cell - Stator Bay | To: Rework Cell - Rotor Balancing | Reason: Transfer buffer material to assembly supermarket MO batch 157. | Note: Material issued from source area; receipt confirmation pending.
158,MO202600000158,2026-11-05,7,3,5,2,8,2026-11-05,5,2026-11-05,Partially Received,Type: Return to Stores | Priority: High | From: Final Assembly Changeover Trolley | To: Electrical Store - Connector Bin | Reason: Return unused connector sets after harness change MO batch 158. | Note: Partial receipt recorded; balance pending verification.
159,MO202600000159,2026-11-06,5,1,2,3,1,2026-11-06,,,Approved,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Fastener Rack | To: Assembly Line Feed Bay | Reason: Transfer fastener kits for motor assembly plan MO batch 159. | Note: Approved and waiting for movement team assignment.
160,MO202600000160,2026-11-07,6,3,2,5,,,,,Pending Approval,Type: Stores to Maintenance | Priority: Medium | From: Electrical Store - Breaker Bin | To: Utility Repair Bench | Reason: Issue contactors for assembly line repair MO batch 160. | Note: Awaiting department approval before material handling.
161,MO202600000161,2026-11-08,8,4,3,5,,,,,Draft,Type: Production to Quality | Priority: Urgent | From: Final Test Area | To: NVH Audit Bench | Reason: Move motors for noise and vibration audit MO batch 161. | Note: Draft prepared for supervisor review.
162,MO202600000162,2026-11-09,11,5,5,6,,,,,Cancelled,Type: Production to Finished Goods | Priority: Medium | From: Quality Release Area | To: Finished Goods Warehouse - Audit Hold Rack | Reason: Move quality-released motors into finished goods storage MO batch 162. | Note: Cancelled due to revised production or dispatch priority.
163,MO202600000163,2026-11-10,13,6,6,6,10,2026-11-10,3,2026-11-10,Received,Type: Finished Goods to Dispatch | Priority: High | From: Finished Goods Warehouse - Customer Hold Rack | To: Customer Pickup Bay | Reason: Move dispatch-ready motors for vehicle loading MO batch 163. | Note: Material received and acknowledged at destination.
164,MO202600000164,2026-11-11,11,5,3,4,8,2026-11-11,,,Approved,Type: Inter-Department Transfer | Priority: Urgent | From: Production Utility Panel Area | To: Line Support Store | Reason: Move tagged assemblies for cross-line recovery MO batch 164. | Note: Approved and waiting for movement team assignment.
165,MO202600000165,2026-11-12,1,1,5,2,1,2026-11-12,11,2026-11-12,Issued,Type: Return to Stores | Priority: Low | From: Maintenance Return Counter | To: Maintenance Spares Cage | Reason: Return serviceable spares after maintenance closure MO batch 165. | Note: Material issued from source area; receipt confirmation pending.
166,MO202600000166,2026-11-13,12,6,2,3,10,2026-11-13,5,2026-11-13,Received,Type: Stores to Production | Priority: High | From: Raw Material Warehouse - Copper Rack A | To: Stator Winding Line 1 | Reason: Issue copper winding wire for stator production batch MO batch 166. | Note: Material received and acknowledged at destination.
167,MO202600000167,2026-11-14,13,6,2,5,8,2026-11-14,3,2026-11-14,Issued,Type: Stores to Maintenance | Priority: Medium | From: Maintenance Spares Cage | To: Assembly Maintenance Bay | Reason: Transfer bearing puller kit for test bench repair MO batch 167. | Note: Material issued from source area; receipt confirmation pending.
168,MO202600000168,2026-11-15,3,2,3,5,1,2026-11-15,7,2026-11-15,Partially Received,Type: Production to Quality | Priority: Medium | From: Stator Winding Line 1 | To: Assembly Quality Gate | Reason: Move sample stators for insulation resistance testing MO batch 168. | Note: Partial receipt recorded; balance pending verification.
169,MO202600000169,2026-11-16,6,3,5,6,10,2026-11-16,,,Approved,Type: Production to Finished Goods | Priority: Urgent | From: Final Assembly Line 1 | To: Finished Goods Warehouse - EV Motor Zone | Reason: Transfer completed traction motors after final torque verification MO batch 169. | Note: Approved and waiting for movement team assignment.
170,MO202600000170,2026-11-17,8,4,6,6,,,,,Pending Approval,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - EV Motor Zone | To: Dispatch Staging Dock 1 | Reason: Stage motors for OEM dispatch MO batch 170. | Note: Awaiting department approval before material handling.
171,MO202600000171,2026-11-18,6,3,3,4,,,,,Draft,Type: Inter-Department Transfer | Priority: High | From: Stator Buffer Area | To: Rotor Assembly Feed Bay | Reason: Transfer matched stator sets for rotor pairing MO batch 171. | Note: Draft prepared for supervisor review.
172,MO202600000172,2026-11-19,9,4,5,2,,,,,Cancelled,Type: Return to Stores | Priority: Urgent | From: Assembly Line Surplus Bin | To: Raw Material Warehouse - Copper Rack A | Reason: Return unused copper wire after order closure MO batch 172. | Note: Cancelled due to revised production or dispatch priority.
173,MO202600000173,2026-11-20,7,3,2,3,8,2026-11-20,11,2026-11-20,Received,Type: Stores to Production | Priority: Low | From: Raw Material Warehouse - Lamination Bay | To: Core Stacking Line | Reason: Move stator laminations for core stacking schedule MO batch 173. | Note: Material received and acknowledged at destination.
174,MO202600000174,2026-11-21,8,4,2,5,1,2026-11-21,,,Approved,Type: Stores to Maintenance | Priority: High | From: Tool Crib - Calibration Shelf | To: Preventive Maintenance Bay | Reason: Move torque tools for scheduled calibration MO batch 174. | Note: Approved and waiting for movement team assignment.
175,MO202600000175,2026-11-22,10,5,3,5,10,2026-11-22,3,2026-11-22,Issued,Type: Production to Quality | Priority: Medium | From: Core Stacking Line | To: Incoming Quality Bay | Reason: Move core stacks for dimensional inspection MO batch 175. | Note: Material issued from source area; receipt confirmation pending.
176,MO202600000176,2026-11-23,13,6,5,6,8,2026-11-23,7,2026-11-23,Received,Type: Production to Finished Goods | Priority: Medium | From: Final Assembly Line 2 | To: Finished Goods Warehouse - Premium Motor Aisle | Reason: Move auxiliary motors after QA label application MO batch 176. | Note: Material received and acknowledged at destination.
177,MO202600000177,2026-11-24,3,2,6,6,1,2026-11-24,11,2026-11-24,Issued,Type: Finished Goods to Dispatch | Priority: Urgent | From: Finished Goods Warehouse - Premium Motor Aisle | To: Dispatch Staging Dock 2 | Reason: Move premium motors for export packing MO batch 177. | Note: Material issued from source area; receipt confirmation pending.
178,MO202600000178,2026-11-25,13,6,3,4,10,2026-11-25,5,2026-11-25,Partially Received,Type: Inter-Department Transfer | Priority: Medium | From: Winding Line Transfer Rack | To: Rotor Balancing Cell | Reason: Move rework material for balancing support MO batch 178. | Note: Partial receipt recorded; balance pending verification.
179,MO202600000179,2026-11-26,4,2,5,2,8,2026-11-26,,,Approved,Type: Return to Stores | Priority: High | From: Winding Line Excess Material Trolley | To: Raw Material Warehouse - Fastener Rack | Reason: Return unused fastener kits after model changeover MO batch 179. | Note: Approved and waiting for movement team assignment.
180,MO202600000180,2026-11-27,1,1,2,3,,,,,Pending Approval,Type: Stores to Production | Priority: Urgent | From: Raw Material Warehouse - Magnet Cage | To: Rotor Assembly Line 1 | Reason: Issue magnet sets for rotor build plan MO batch 180. | Note: Awaiting department approval before material handling.
181,MO202600000181,2026-11-28,3,2,2,5,,,,,Draft,Type: Stores to Maintenance | Priority: Low | From: Lubricants Store | To: Motor Test Maintenance Bay | Reason: Issue grease cartridges for preventive maintenance MO batch 181. | Note: Draft prepared for supervisor review.
182,MO202600000182,2026-11-29,5,1,3,5,,,,,Cancelled,Type: Production to Quality | Priority: High | From: Impregnation Oven Exit Area | To: Quality Inspection Bay 1 | Reason: Move varnished stators for quality release MO batch 182. | Note: Cancelled due to revised production or dispatch priority.
183,MO202600000183,2026-11-30,8,4,5,6,1,2026-11-30,3,2026-11-30,Received,Type: Production to Finished Goods | Priority: Medium | From: End of Line Test Area | To: Finished Goods Warehouse - Export Hold | Reason: Transfer export motors after packing checklist completion MO batch 183. | Note: Material received and acknowledged at destination.
184,MO202600000184,2026-12-01,10,5,6,6,10,2026-12-01,,,Approved,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Export Hold | To: Dispatch Staging Dock 3 | Reason: Transfer export hold motors for container stuffing MO batch 184. | Note: Approved and waiting for movement team assignment.
185,MO202600000185,2026-12-02,8,4,3,4,8,2026-12-02,11,2026-12-02,Issued,Type: Inter-Department Transfer | Priority: Urgent | From: Core Stacking Output Rack | To: Assembly Supermarket | Reason: Move line support tooling between production areas MO batch 185. | Note: Material issued from source area; receipt confirmation pending.
186,MO202600000186,2026-12-03,11,5,5,2,1,2026-12-03,5,2026-12-03,Received,Type: Return to Stores | Priority: Medium | From: Core Stacking Excess Rack | To: Raw Material Warehouse - Lamination Bay | Reason: Return excess stator laminations after yield adjustment MO batch 186. | Note: Material received and acknowledged at destination.
187,MO202600000187,2026-12-04,9,4,2,3,10,2026-12-04,3,2026-12-04,Issued,Type: Stores to Production | Priority: High | From: Electrical Store - Sleeve Bin | To: Harness Preparation Cell | Reason: Issue insulation sleeves for winding rework batch MO batch 187. | Note: Material issued from source area; receipt confirmation pending.
188,MO202600000188,2026-12-05,10,5,2,5,8,2026-12-05,7,2026-12-05,Partially Received,Type: Stores to Maintenance | Priority: Urgent | From: Safety Stock Room | To: Shutdown Maintenance Cage | Reason: Move safety relays for shutdown replacement MO batch 188. | Note: Partial receipt recorded; balance pending verification.
189,MO202600000189,2026-12-06,12,6,3,5,1,2026-12-06,,,Approved,Type: Production to Quality | Priority: Low | From: Rotor Assembly Line 2 | To: Quality Hold Area | Reason: Move rotor assemblies for balancing audit MO batch 189. | Note: Approved and waiting for movement team assignment.
190,MO202600000190,2026-12-07,3,2,5,6,,,,,Pending Approval,Type: Production to Finished Goods | Priority: High | From: Packing Line - Motor Cell | To: Finished Goods Warehouse - Dispatch Ready Bay | Reason: Move motors after end-of-line test release MO batch 190. | Note: Awaiting department approval before material handling.
191,MO202600000191,2026-12-08,5,1,6,6,,,,,Draft,Type: Finished Goods to Dispatch | Priority: Medium | From: Finished Goods Warehouse - Dispatch Ready Bay | To: Export Packing Bay | Reason: Stage motors for customer pickup MO batch 191. | Note: Draft prepared for supervisor review.
192,MO202600000192,2026-12-09,3,2,3,4,,,,,Cancelled,Type: Inter-Department Transfer | Priority: Medium | From: Rework Cell - Stator Bay | To: Rework Cell - Rotor Balancing | Reason: Transfer buffer material to assembly supermarket MO batch 192. | Note: Cancelled due to revised production or dispatch priority.
193,MO202600000193,2026-12-10,6,3,5,2,10,2026-12-10,11,2026-12-10,Received,Type: Return to Stores | Priority: Urgent | From: Final Assembly Changeover Trolley | To: Electrical Store - Connector Bin | Reason: Return unused connector sets after harness change MO batch 193. | Note: Material received and acknowledged at destination.
194,MO202600000194,2026-12-11,4,2,2,3,8,2026-12-11,,,Approved,Type: Stores to Production | Priority: Medium | From: Raw Material Warehouse - Fastener Rack | To: Assembly Line Feed Bay | Reason: Transfer fastener kits for motor assembly plan MO batch 194. | Note: Approved and waiting for movement team assignment.
195,MO202600000195,2026-12-12,5,1,2,5,1,2026-12-12,3,2026-12-12,Issued,Type: Stores to Maintenance | Priority: High | From: Electrical Store - Breaker Bin | To: Utility Repair Bench | Reason: Issue contactors for assembly line repair MO batch 195. | Note: Material issued from source area; receipt confirmation pending.
196,MO202600000196,2026-12-13,7,3,3,5,10,2026-12-13,7,2026-12-13,Received,Type: Production to Quality | Priority: Urgent | From: Final Test Area | To: NVH Audit Bench | Reason: Move motors for noise and vibration audit MO batch 196. | Note: Material received and acknowledged at destination.
197,MO202600000197,2026-12-14,10,5,5,6,8,2026-12-14,11,2026-12-14,Issued,Type: Production to Finished Goods | Priority: Low | From: Quality Release Area | To: Finished Goods Warehouse - Audit Hold Rack | Reason: Move quality-released motors into finished goods storage MO batch 197. | Note: Material issued from source area; receipt confirmation pending.
