move_order_id,move_order_number,move_order_date,move_order_type,source_location,destination_location,requested_by,approved_by,moved_by,reference_type,reference_id,priority,move_status,remarks,created_at,updated_at
118,MO2026013000118,2026-01-30,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,118,Urgent,Draft,Draft rejection transfer request awaiting confirmation,2026-01-30 09:39:00,2026-01-30 15:27:00
119,MO2025092500119,2025-09-25,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,119,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2025-09-25 09:46:00,2025-09-25 15:38:00
120,MO2025010700120,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-07 09:53:00,2025-01-07 15:49:00
121,MO2025123000121,2025-12-30,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,121,Urgent,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-12-30 09:00:00,2025-12-30 15:00:00
122,MO2025052100122,2025-05-21,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,122,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-05-21 09:07:00,2025-05-21 15:11:00
123,MO2025112000123,2025-11-20,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,123,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2025-11-20 09:14:00,2025-11-20 15:22:00
124,MO2026012800124,2026-01-28,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,124,Urgent,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2026-01-28 09:21:00,2026-01-28 15:33:00
125,MO2026013000125,2026-01-30,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,125,High,Requested,Rejection Transfer for motor manufacturing warehouse movement,2026-01-30 09:28:00,2026-01-30 15:44:00
126,MO2025092900126,2025-09-29,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,126,Urgent,Draft,Draft dispatch staging transfer request awaiting confirmation,2025-09-29 09:35:00,2025-09-29 15:55:00
127,MO2025010200127,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-02 09:42:00,2025-01-02 15:06:00
128,MO2025082800128,2025-08-28,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,128,High,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2025-08-28 09:49:00,2025-08-28 15:17:00
129,MO2025091200129,2025-09-12,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,129,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-09-12 09:56:00,2025-09-12 15:28:00
130,MO2026031600130,2026-03-16,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,130,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2026-03-16 09:03:00,2026-03-16 15:39:00
131,MO2026031800131,2026-03-18,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,131,High,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2026-03-18 09:10:00,2026-03-18 15:50:00
132,MO2026032000132,2026-03-20,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,132,High,Approved,Rejection Transfer for motor manufacturing warehouse movement,2026-03-20 09:17:00,2026-03-20 15:01:00
133,MO2025100300133,2025-10-03,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,133,High,Requested,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-10-03 09:24:00,2025-10-03 15:12:00
134,MO2025010300134,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Draft,Draft raw material transfer request awaiting confirmation,2025-01-03 09:31:00,2025-01-03 15:23:00
135,MO2025100800135,2025-10-08,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,135,Low,Cancelled,Production Issue Transfer cancelled due to revised material movement plan,2025-10-08 09:38:00,2025-10-08 15:34:00
136,MO2026021600136,2026-02-16,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,136,Medium,Rejected,Semi-Finished Transfer rejected due to location or quantity mismatch,2026-02-16 09:45:00,2026-02-16 15:45:00
137,MO2026010600137,2026-01-06,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,137,High,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2026-01-06 09:52:00,2026-01-06 15:56:00
138,MO2026010800138,2026-01-08,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,138,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2026-01-08 09:59:00,2026-01-08 15:07:00
139,MO2025052000139,2025-05-20,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,139,Urgent,In Transit,Rejection Transfer for motor manufacturing warehouse movement,2025-05-20 09:06:00,2025-05-20 15:18:00
140,MO2025100700140,2025-10-07,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,140,High,Approved,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-10-07 09:13:00,2025-10-07 15:29:00
141,MO2025010400141,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Requested,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-04 09:20:00,2025-01-04 15:40:00
142,MO2025121600142,2025-12-16,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,142,High,Draft,Draft production issue transfer request awaiting confirmation,2025-12-16 09:27:00,2025-12-16 15:51:00
143,MO2026010900143,2026-01-09,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,143,Low,Cancelled,Semi-Finished Transfer cancelled due to revised material movement plan,2026-01-09 09:34:00,2026-01-09 15:02:00
144,MO2025071300144,2025-07-13,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,144,Medium,Rejected,Finished Goods Transfer rejected due to location or quantity mismatch,2025-07-13 09:41:00,2025-07-13 15:13:00
145,MO2025091000145,2025-09-10,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,145,Urgent,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-09-10 09:48:00,2025-09-10 15:24:00
146,MO2025091200146,2025-09-12,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,146,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2025-09-12 09:55:00,2025-09-12 15:35:00
147,MO2025102000147,2025-10-20,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,147,High,In Transit,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-10-20 09:02:00,2025-10-20 15:46:00
148,MO2025010500148,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Approved,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-05 09:09:00,2025-01-05 15:57:00
149,MO2026021400149,2026-02-14,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,149,High,Requested,Production Issue Transfer for motor manufacturing warehouse movement,2026-02-14 09:16:00,2026-02-14 15:08:00
150,MO2026030100150,2026-03-01,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,150,Medium,Draft,Draft semi-finished transfer request awaiting confirmation,2026-03-01 09:23:00,2026-03-01 15:19:00
151,MO2026012900151,2026-01-29,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,151,Low,Cancelled,Finished Goods Transfer cancelled due to revised material movement plan,2026-01-29 09:30:00,2026-01-29 15:30:00
152,MO2026013100152,2026-01-31,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,152,High,Rejected,QA Hold Transfer rejected due to location or quantity mismatch,2026-01-31 09:37:00,2026-01-31 15:41:00
153,MO2026020200153,2026-02-02,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,153,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-02-02 09:44:00,2026-02-02 15:52:00
154,MO2025103100154,2025-10-31,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,154,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-10-31 09:51:00,2025-10-31 15:03:00
155,MO2025010600155,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Medium,In Transit,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-06 09:58:00,2025-01-06 15:14:00
156,MO2026041900156,2026-04-19,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,156,Urgent,Approved,Production Issue Transfer for motor manufacturing warehouse movement,2026-04-19 09:05:00,2026-04-19 15:25:00
157,MO2025041200157,2025-04-12,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,157,High,Requested,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-04-12 09:12:00,2025-04-12 15:36:00
158,MO2025111000158,2025-11-10,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,158,Medium,Draft,Draft finished goods transfer request awaiting confirmation,2025-11-10 09:19:00,2025-11-10 15:47:00
159,MO2025111200159,2025-11-12,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,159,Low,Cancelled,QA Hold Transfer cancelled due to revised material movement plan,2025-11-12 09:26:00,2025-11-12 15:58:00
160,MO2025112600160,2025-11-26,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,160,Urgent,Rejected,Rejection Transfer rejected due to location or quantity mismatch,2025-11-26 09:33:00,2025-11-26 15:09:00
161,MO2025110700161,2025-11-07,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,161,Urgent,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-11-07 09:40:00,2025-11-07 15:20:00
162,MO2025010700162,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-07 09:47:00,2025-01-07 15:31:00
163,MO2025071100163,2025-07-11,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,163,High,In Transit,Production Issue Transfer for motor manufacturing warehouse movement,2025-07-11 09:54:00,2025-07-11 15:42:00
164,MO2025072200164,2025-07-22,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,164,Medium,Approved,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-07-22 09:01:00,2025-07-22 15:53:00
165,MO2026020100165,2026-02-01,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,165,High,Requested,Finished Goods Transfer for motor manufacturing warehouse movement,2026-02-01 09:08:00,2026-02-01 15:04:00
166,MO2026031900166,2026-03-19,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,166,Urgent,Draft,Draft qa hold transfer request awaiting confirmation,2026-03-19 09:15:00,2026-03-19 15:15:00
167,MO2026032100167,2026-03-21,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,167,Low,Cancelled,Rejection Transfer cancelled due to revised material movement plan,2026-03-21 09:22:00,2026-03-21 15:26:00
168,MO2025112000168,2025-11-20,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,168,High,Rejected,Dispatch Staging Transfer rejected due to location or quantity mismatch,2025-11-20 09:29:00,2025-11-20 15:37:00
169,MO2025010200169,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:36:00,2025-01-02 15:48:00
170,MO2025092700170,2025-09-27,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,170,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-09-27 09:43:00,2025-09-27 15:59:00
171,MO2026053100171,2026-05-31,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,171,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-05-31 09:50:00,2026-05-31 15:10:00
172,MO2026032000172,2026-03-20,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,172,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2026-03-20 09:57:00,2026-03-20 15:21:00
173,MO2026032200173,2026-03-22,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,173,High,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2026-03-22 09:04:00,2026-03-22 15:32:00
174,MO2026032400174,2026-03-24,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,174,High,Draft,Draft rejection transfer request awaiting confirmation,2026-03-24 09:11:00,2026-03-24 15:43:00
175,MO2025112200175,2025-11-22,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,175,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2025-11-22 09:18:00,2025-11-22 15:54:00
176,MO2025010300176,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-03 09:25:00,2025-01-03 15:05:00
177,MO2025110700177,2025-11-07,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,177,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2025-11-07 09:32:00,2025-11-07 15:16:00
178,MO2025112100178,2025-11-21,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,178,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-11-21 09:39:00,2025-11-21 15:27:00
179,MO2026032600179,2026-03-26,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,179,Medium,In Transit,Finished Goods Transfer for motor manufacturing warehouse movement,2026-03-26 09:46:00,2026-03-26 15:38:00
180,MO2026032800180,2026-03-28,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,180,High,Approved,QA Hold Transfer for motor manufacturing warehouse movement,2026-03-28 09:53:00,2026-03-28 15:49:00
181,MO2026042900181,2026-04-29,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,181,Urgent,Requested,Rejection Transfer for motor manufacturing warehouse movement,2026-04-29 09:00:00,2026-04-29 15:00:00
182,MO2025120200182,2025-12-02,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,182,High,Draft,Draft dispatch staging transfer request awaiting confirmation,2025-12-02 09:07:00,2025-12-02 15:11:00
183,MO2025010400183,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Low,Cancelled,Raw Material Transfer cancelled due to revised material movement plan,2025-01-04 09:14:00,2025-01-04 15:22:00
184,MO2026012700184,2026-01-27,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,184,High,Rejected,Production Issue Transfer rejected due to location or quantity mismatch,2026-01-27 09:21:00,2026-01-27 15:33:00
185,MO2026012900185,2026-01-29,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,185,High,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-01-29 09:28:00,2026-01-29 15:44:00
186,MO2025071000186,2025-07-10,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,186,Medium,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2025-07-10 09:35:00,2025-07-10 15:55:00
187,MO2025071200187,2025-07-12,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,187,Urgent,In Transit,QA Hold Transfer for motor manufacturing warehouse movement,2025-07-12 09:42:00,2025-07-12 15:06:00
188,MO2025071400188,2025-07-14,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,188,High,Approved,Rejection Transfer for motor manufacturing warehouse movement,2025-07-14 09:49:00,2025-07-14 15:17:00
189,MO2025121200189,2025-12-12,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,189,High,Requested,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-12-12 09:56:00,2025-12-12 15:28:00
190,MO2025010500190,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Draft,Draft raw material transfer request awaiting confirmation,2025-01-05 09:03:00,2025-01-05 15:39:00
191,MO2026080100191,2026-08-01,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,191,Low,Cancelled,Production Issue Transfer cancelled due to revised material movement plan,2026-08-01 09:10:00,2026-08-01 15:50:00
192,MO2026031800192,2026-03-18,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,192,Medium,Rejected,Semi-Finished Transfer rejected due to location or quantity mismatch,2026-03-18 09:17:00,2026-03-18 15:01:00
193,MO2025092600193,2025-09-26,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,193,High,Completed,Finished Goods Transfer for motor manufacturing warehouse movement,2025-09-26 09:24:00,2025-09-26 15:12:00
194,MO2025092800194,2025-09-28,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,194,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-09-28 09:31:00,2025-09-28 15:23:00
195,MO2025093000195,2025-09-30,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,195,High,In Transit,Rejection Transfer for motor manufacturing warehouse movement,2025-09-30 09:38:00,2025-09-30 15:34:00
196,MO2025122000196,2025-12-20,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,196,Urgent,Approved,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-12-20 09:45:00,2025-12-20 15:45:00
197,MO2025010600197,2025-01-06,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Requested,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-06 09:52:00,2025-01-06 15:56:00
198,MO2025051500198,2025-05-15,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,198,High,Draft,Draft production issue transfer request awaiting confirmation,2025-05-15 09:59:00,2025-05-15 15:07:00
199,MO2025051600199,2025-05-16,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,199,Low,Cancelled,Semi-Finished Transfer cancelled due to revised material movement plan,2025-05-16 09:06:00,2025-05-16 15:18:00
200,MO2025110700200,2025-11-07,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,200,Medium,Rejected,Finished Goods Transfer rejected due to location or quantity mismatch,2025-11-07 09:13:00,2025-11-07 15:29:00
201,MO2025110900201,2025-11-09,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,201,High,Completed,QA Hold Transfer for motor manufacturing warehouse movement,2025-11-09 09:20:00,2025-11-09 15:40:00
202,MO2025112300202,2025-11-23,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,202,Urgent,Completed,Rejection Transfer for motor manufacturing warehouse movement,2025-11-23 09:27:00,2025-11-23 15:51:00
203,MO2025122400203,2025-12-24,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,203,High,In Transit,Dispatch Staging Transfer for motor manufacturing warehouse movement,2025-12-24 09:34:00,2025-12-24 15:02:00
204,MO2025010700204,2025-01-07,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Approved,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-07 09:41:00,2025-01-07 15:13:00
205,MO2025080600205,2025-08-06,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,205,High,Requested,Production Issue Transfer for motor manufacturing warehouse movement,2025-08-06 09:48:00,2025-08-06 15:24:00
206,MO2026091200206,2026-09-12,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,206,Medium,Draft,Draft semi-finished transfer request awaiting confirmation,2026-09-12 09:55:00,2026-09-12 15:35:00
207,MO2025112400207,2025-11-24,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,207,Low,Cancelled,Finished Goods Transfer cancelled due to revised material movement plan,2025-11-24 09:02:00,2025-11-24 15:46:00
208,MO2026012900208,2026-01-29,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,208,Urgent,Rejected,QA Hold Transfer rejected due to location or quantity mismatch,2026-01-29 09:09:00,2026-01-29 15:57:00
209,MO2026013100209,2026-01-31,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,209,High,Completed,Rejection Transfer for motor manufacturing warehouse movement,2026-01-31 09:16:00,2026-01-31 15:08:00
210,MO2026010300210,2026-01-03,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,210,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-01-03 09:23:00,2026-01-03 15:19:00
211,MO2025010200211,2025-01-02,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,Medium,In Transit,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-02 09:30:00,2025-01-02 15:30:00
212,MO2025100200212,2025-10-02,Production Issue Transfer,Consumables Store,Production Line 2,1,1,1,Production Order,212,High,Approved,Production Issue Transfer for motor manufacturing warehouse movement,2025-10-02 09:37:00,2025-10-02 15:41:00
213,MO2025100900213,2025-10-09,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,213,High,Requested,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-10-09 09:44:00,2025-10-09 15:52:00
214,MO2026021000214,2026-02-10,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,214,Medium,Draft,Draft finished goods transfer request awaiting confirmation,2026-02-10 09:51:00,2026-02-10 15:03:00
215,MO2026021200215,2026-02-12,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,215,Low,Cancelled,QA Hold Transfer cancelled due to revised material movement plan,2026-02-12 09:58:00,2026-02-12 15:14:00
216,MO2026021400216,2026-02-14,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,216,High,Rejected,Rejection Transfer rejected due to location or quantity mismatch,2026-02-14 09:05:00,2026-02-14 15:25:00
217,MO2026010500217,2026-01-05,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,217,High,Completed,Dispatch Staging Transfer for motor manufacturing warehouse movement,2026-01-05 09:12:00,2026-01-05 15:36:00
218,MO2025010300218,2025-01-03,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-03 09:19:00,2025-01-03 15:47:00
219,MO2025112100219,2025-11-21,Production Issue Transfer,Mechanical Store,Production Line 1,1,1,1,Production Order,219,High,In Transit,Production Issue Transfer for motor manufacturing warehouse movement,2025-11-21 09:26:00,2025-11-21 15:58:00
220,MO2025121700220,2025-12-17,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,220,Medium,Approved,Semi-Finished Transfer for motor manufacturing warehouse movement,2025-12-17 09:33:00,2025-12-17 15:09:00
221,MO2026033000221,2026-03-30,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,221,High,Requested,Finished Goods Transfer for motor manufacturing warehouse movement,2026-03-30 09:40:00,2026-03-30 15:20:00
222,MO2026040100222,2026-04-01,QA Hold Transfer,Finished Goods Store,QA Hold Area,1,1,1,Finished Goods Receipt,222,High,Draft,Draft qa hold transfer request awaiting confirmation,2026-04-01 09:47:00,2026-04-01 15:31:00
223,MO2026032900223,2026-03-29,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,223,Low,Cancelled,Rejection Transfer cancelled due to revised material movement plan,2026-03-29 09:54:00,2026-03-29 15:42:00
224,MO2026011300224,2026-01-13,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,224,High,Rejected,Dispatch Staging Transfer rejected due to location or quantity mismatch,2026-01-13 09:01:00,2026-01-13 15:53:00
225,MO2025010400225,2025-01-04,Raw Material Transfer,Raw Material Store,Electrical Store,1,1,1,Manual Transfer,,High,Completed,Raw Material Transfer for motor manufacturing warehouse movement,2025-01-04 09:08:00,2025-01-04 15:04:00
226,MO2026111300226,2026-11-13,Production Issue Transfer,Electrical Store,Production Line 2,1,1,1,Production Order,226,Urgent,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2026-11-13 09:15:00,2026-11-13 15:15:00
227,MO2026021500227,2026-02-15,Semi-Finished Transfer,Production Line 1,Semi-Finished Store,1,1,1,Production Order,227,Medium,In Transit,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-02-15 09:22:00,2026-02-15 15:26:00
228,MO2026090400228,2026-09-04,Finished Goods Transfer,Semi-Finished Store,Finished Goods Store,1,1,1,Finished Goods Receipt,228,Medium,Approved,Finished Goods Transfer for motor manufacturing warehouse movement,2026-09-04 09:29:00,2026-09-04 15:37:00
229,MO2025071600229,2025-07-16,QA Hold Transfer,Production Line 1,QA Hold Area,1,1,1,Finished Goods Receipt,229,Urgent,Requested,QA Hold Transfer for motor manufacturing warehouse movement,2025-07-16 09:36:00,2025-07-16 15:48:00
230,MO2025071800230,2025-07-18,Rejection Transfer,QA Hold Area,Rejection Bay,1,1,1,Finished Goods Receipt,230,High,Draft,Draft rejection transfer request awaiting confirmation,2025-07-18 09:43:00,2025-07-18 15:59:00
231,MO2026012400231,2026-01-24,Dispatch Staging Transfer,Finished Goods Store,Dispatch Staging Area,1,1,1,Customer Order,231,Low,Cancelled,Dispatch Staging Transfer cancelled due to revised material movement plan,2026-01-24 09:50:00,2026-01-24 15:10:00
232,MO2025010500232,2025-01-05,Raw Material Transfer,Raw Material Store,Mechanical Store,1,1,1,Manual Transfer,,Medium,Rejected,Raw Material Transfer rejected due to location or quantity mismatch,2025-01-05 09:57:00,2025-01-05 15:21:00
233,MO2026032500233,2026-03-25,Production Issue Transfer,Raw Material Store,Production Line 1,1,1,1,Production Order,233,High,Completed,Production Issue Transfer for motor manufacturing warehouse movement,2026-03-25 09:04:00,2026-03-25 15:32:00
234,MO2026033100234,2026-03-31,Semi-Finished Transfer,Production Line 2,Semi-Finished Store,1,1,1,Production Order,234,Medium,Completed,Semi-Finished Transfer for motor manufacturing warehouse movement,2026-03-31 09:11:00,2026-03-31 15:43:00
